Character ID,Comic ID,Comic Title,Comic Issue Number
1011334,24571,Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT),14.0
1011334,21366,Avengers: The Initiative (2007) #14,14.0
1011334,21546,Avengers: The Initiative (2007) #15,15.0
1011334,21741,Avengers: The Initiative (2007) #16,16.0
1011334,21975,Avengers: The Initiative (2007) #17,17.0
1011334,22299,Avengers: The Initiative (2007) #18,18.0
1011334,22300,Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT),18.0
1011334,22506,Avengers: The Initiative (2007) #19,19.0
1011334,8500,Deadpool (1997) #44,44.0
1011334,10223,Marvel Premiere (1972) #35,35.0
1011334,10224,Marvel Premiere (1972) #36,36.0
1011334,10225,Marvel Premiere (1972) #37,37.0
1017100,47176,FREE COMIC BOOK DAY 2013 1 (2013) #1,1.0
1017100,40632,Hulk (2008) #53,53.0
1017100,40630,Hulk (2008) #54,54.0
1017100,40628,Hulk (2008) #55,55.0
1009144,36763,Ant-Man & Wasp (2010) #3,3.0
1009144,17553,Avengers (1998) #67,67.0
1009144,7340,Avengers (1963) #87,87.0
1009144,63217,Avengers and Power Pack (2017) #3,3.0
1009144,63218,Avengers and Power Pack (2017) #4,4.0
1009144,63219,Avengers and Power Pack (2017) #5,5.0
1009144,63220,Avengers and Power Pack (2017) #6,6.0
1009144,4214,Avengers and Power Pack Assemble! (2006) #2,2.0
1009144,64790,AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION VOL. 2 TPB (Trade Paperback),2.0
1009144,103371,Avengers Unlimited Infinity Comic (2022) #17,17.0
1009144,1170,Avengers Vol. 2: Red Zone (Trade Paperback),0.0
1009144,1214,Avengers Vol. II: Red Zone (Trade Paperback),0.0
1009144,12787,Captain America (1998) #28,28.0
1009144,7513,Captain America (1968) #132,132.0
1009144,7514,Captain America (1968) #133,133.0
1009144,65466,"Captain America by Mark Waid, Ron Garney & Andy Kubert (Hardcover)",0.0
1009144,20367,Defenders (1972) #57,57.0
1009144,31068,Incredible Hulks (2010) #606 (VARIANT),606.0
1009144,46168,Indestructible Hulk (2012) #3,3.0
1009144,43944,Iron Man (2012) #1,1.0
1009144,9546,Iron Man (1968) #297,297.0
1009144,9545,Iron Man (1968) #296,296.0
1009144,9544,Iron Man (1968) #295,295.0
1009144,65941,Iron Man Epic Collection: Doom (Trade Paperback),0.0
1009144,36737,Marvel Adventures Super Heroes (2010) #16,16.0
1009144,2110,MARVEL MASTERWORKS: CAPTAIN AMERICA (Hardcover),1.0
1009144,1130,Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (Hardcover),0.0
1009144,2820,MARVEL MASTERWORKS: DOCTOR STRANGE (Hardcover),2.0
1009144,2319,MARVEL MASTERWORKS: DOCTOR STRANGE (Hardcover),2.0
1009144,2001,MARVEL MASTERWORKS: THE INVINCIBLE IRON MAN (Hardcover),1.0
1009144,17468,Marvel Masterworks: The Invincible Iron Man Vol. 1 (Hardcover),0.0
1009144,1164,Marvel Masterworks: The Silver Surfer Vol. 2 (Hardcover),2.0
1009144,65357,Marvel Universe Avengers: Ultron Revolution (2017) #2,2.0
1009144,48818,Secret Avengers (2013) #16,16.0
1009144,48817,Secret Avengers (2013) #15,15.0
1009144,48816,Secret Avengers (2013) #14,14.0
1009144,11069,Strange Tales (1951) #147,147.0
1009144,11068,Strange Tales (1951) #146,146.0
1009144,11070,Strange Tales (1951) #148,148.0
1009144,11341,Tales of Suspense (1959) #94,94.0
1009144,11324,Tales of Suspense (1959) #79,79.0
1009144,11326,Tales of Suspense (1959) #80,80.0
1009144,11328,Tales of Suspense (1959) #82,82.0
1009144,11342,Tales of Suspense (1959) #95,95.0
1009144,11346,Tales of Suspense (1959) #99,99.0
1009144,36972,Taskmaster (Trade Paperback),1.0
1009144,13893,Uncanny X-Men (1963) #352,352.0
1009144,103120,Who Is...? M.O.D.O.K. Infinity Comic (2023) #1,1.0
1009144,14225,Wolverine (2003) #1,1.0
1009144,1090,Wolverine Vol. II (Trade Paperback),0.0
1009144,1205,WOLVERINE: THE BROTHERS (Trade Paperback),1.0
1009144,92307,X-Men Unlimited Infinity Comic (2021) #1,1.0
1009144,92308,X-Men Unlimited Infinity Comic (2021) #2,2.0
1010699,40776,Dark Avengers (2012) #177,177.0
1010699,40773,Dark Avengers (2012) #179,179.0
1010699,40774,Dark Avengers (2012) #180,180.0
1010699,40778,Dark Avengers (2012) #181,181.0
1010699,40787,Dark Avengers (2012) #182,182.0
1010699,40786,Dark Avengers (2012) #183,183.0
1010699,38073,Hulk (2008) #43,43.0
1010699,11911,Universe X (2000) #7,7.0
1010699,11910,Universe X (2000) #6,6.0
1010699,11912,Universe X (2000) #8,8.0
1010699,11913,Universe X (2000) #9,9.0
1010699,11903,Universe X (2000) #10,10.0
1010699,11904,Universe X (2000) #11,11.0
1010699,11905,Universe X (2000) #12,12.0
1009146,88871,Abominations (1996) #3,3.0
1009146,88870,Abominations (1996) #2,2.0
1009146,88869,Abominations (1996) #1,1.0
1009146,17548,Avengers (1998) #62,62.0
1009146,17547,Avengers (1998) #61,61.0
1009146,1098,AVENGERS: WORLD TRUST (Trade Paperback),1.0
1009146,8557,Earth X (1999) #7,7.0
1009146,4241,EARTH X TPB [NEW PRINTING] (Trade Paperback),0.0
1009146,14451,Hulk (1999) #51,51.0
1009146,14453,Hulk (1999) #53,53.0
1009146,14454,Hulk (1999) #54,54.0
1009146,14424,Hulk (1999) #24,24.0
1009146,20863,Hulk (2008) #3,3.0
1009146,14450,Hulk (1999) #50,50.0
1009146,14428,Hulk (1999) #28,28.0
1009146,14425,Hulk (1999) #25,25.0
1009146,2499,Hulk: Destruction (2005) #4,4.0
1009146,9175,Incredible Hulk (1962) #364,364.0
1009146,9005,Incredible Hulk (1962) #194,194.0
1009146,8982,Incredible Hulk (1962) #171,171.0
1009146,8948,Incredible Hulk (1962) #137,137.0
1009146,9006,Incredible Hulk (1962) #195,195.0
1009146,9125,Incredible Hulk (1962) #314,314.0
1009146,9007,Incredible Hulk (1962) #196,196.0
1009146,9193,Incredible Hulk (1962) #382,382.0
1009146,9194,Incredible Hulk (1962) #383,383.0
1009146,9243,Incredible Hulk (1962) #432,432.0
1009146,9284,Incredible Hulk (1962) #473,473.0
1009146,9177,Incredible Hulk (1962) #366,366.0
1009146,9011,Incredible Hulk (1962) #200,200.0
1009146,9285,Incredible Hulk (1962) #474,474.0
1009146,9270,Incredible Hulk (1962) #459,459.0
1009146,9195,Incredible Hulk (1962) #384,384.0
1009146,9283,Incredible Hulk (1962) #472,472.0
1009146,16877,Incredible Hulk Annual (1976) #20,20.0
1009146,60692,Incredible Hulk Epic Collection: The Hulk Must Die (Trade Paperback),0.0
1009146,1153,Incredible Hulk Vol. 4: Abominable (Trade Paperback),0.0
1009146,1187,Incredible Hulk Vol. IV: Abominable (Trade Paperback),0.0
1009146,34050,Incredible Hulks (2010) #619,619.0
1009146,29541,Incredible Hulks (2010) #602 (SHS VARIANT),602.0
1009146,31236,Incredible Hulks (2010) #618,618.0
1009146,19939,Iron Man (1998) #63,63.0
1009146,19938,Iron Man (1998) #62,62.0
1009146,15894,IRREDEEMABLE ANT-MAN VOL. 1: LOW-LIFE DIGEST (Trade Paperback),0.0
1009146,19857,Killraven (2002) #3,3.0
1009146,15908,KILLRAVEN PREMIERE HC (Trade Paperback),1.0
1009146,94081,Maestro: World War M (2022) #3,3.0
1009146,94083,Maestro: World War M (2022) #5,5.0
1009146,59511,Marvel Cinematic Universe Guidebook: The Avengers Initiative (Trade Paperback),1.0
1009146,3435,MARVEL MASTERWORKS: THE INCREDIBLE HULK (Hardcover),3.0
1009146,60446,MARVEL MASTERWORKS: THE INCREDIBLE HULK VOL. 11 HC (Trade Paperback),11.0
1009146,15522,Marvel Super Heroes (1990) #6,6.0
1009146,2577,MARVEL VISIONARIES: JOHN ROMITA JR. (Hardcover),1.0
1009146,11439,Tales to Astonish (1959) #91,91.0
1009146,5199,The Irredeemable Ant-Man (2006) #1,1.0
1009146,13911,Uncanny X-Men (1963) #370,370.0
1009146,14384,X-Men (1991) #90,90.0
1009146,14366,X-Men (1991) #74,74.0
1016823,40638,Hulk (2008) #50,50.0
1016823,15717,Ultimate X-Men (2001) #26,26.0
1009148,43507,A+X (2012) #8,8.0
1009148,7045,Avengers (1963) #183,183.0
1009148,7046,Avengers (1963) #184,184.0
1009148,7142,Avengers (1963) #270,270.0
1009148,36481,Avengers Academy (2010) #16,16.0
